exp.ID,P.layer,P.row,P.col,layer,row,col,replicate,replicate.raw,Generation,treat,treat.1,ecotype,id,flt,height,diam,biomass,fruit,rm
51,5,5_3,5,8,1,1,3,3,F3,Cd1,Cd1,Sap-0,369,23,35.3,7.1,97.7,259,FALSE
52,1,1_6,11,10,4,8,1,1,F3,Cd1,Cd1,Tol-0,81,26,49.2,8.3,350.4,239,FALSE
53,3,3_7,4,6,3,6,2,2,F3,Cd1,Cd1,Tol-0,256,49,46.2,9.2,399.6,162,FALSE
54,5,5_3,9,1,3,12,3,3,F3,Cd1,Cd1,Tol-0,373,31,44.9,9.8,212,254,FALSE
55,1,1_6,1,15,6,12,1,1,F3,Cd1,Cd1,TRE-1,71,46,46.8,11.2,689.6,340,FALSE
56,3,3_7,7,13,1,14,2,2,F3,Cd1,Cd1,TRE-1,259,32,54.5,10.2,439.1,523,FALSE
57,5,5_3,14,2,2,5,3,3,F3,Cd1,Cd1,TRE-1,378,48,51.2,10.2,517,152,FALSE
58,1,1_6,10,15,6,5,1,1,F3,Cd1,Cd1,Tri-0,80,36,48.1,9.9,472.1,214,FALSE
59,3,3_7,2,6,1,2,2,2,F3,Cd1,Cd1,Tri-0,254,39,49.5,10.4,287.7,215,FALSE
60,5,5_3,6,14,1,4,3,3,F3,Cd1,Cd1,Tri-0,370,37,56.6,12.4,696.4,625,FALSE
61,1,1_6,9,11,4,7,1,1,F4,Cd1,Cd1,Abd-0,79,70,30.7,11.7,429.5,264,FALSE
62,3,3_7,3,4,5,3,2,2,F4,Cd1,Cd1,Abd-0,255,56,32.8,8.6,941.2,159,FALSE
63,5,5_3,12,16,2,4,3,3,F4,Cd1,Cd1,Abd-0,376,NA,NA,NA,NA,NA,TRUE
64,1,1_6,7,3,3,8,1,1,F4,Cd1,Cd1,Ang-0,77,24,36.6,5.8,100.3,164,FALSE
65,3,3_7,14,2,1,2,2,2,F4,Cd1,Cd1,Ang-0,266,64,28.6,9.4,364.8,43,FALSE
66,5,5_3,4,5,4,6,3,3,F4,Cd1,Cd1,Ang-0,368,41,40.5,6.2,214.2,280,FALSE
67,1,1_6,13,10,4,6,1,1,F4,Cd1,Cd1,aaCol-0,83,22,57,10,585.1,678,FALSE
68,3,3_7,6,14,4,2,2,2,F4,Cd1,Cd1,aaCol-0,258,20,51.2,12.1,419.5,641,FALSE
69,5,5_3,3,7,1,6,3,3,F4,Cd1,Cd1,aaCol-0,367,21,35.7,8.6,318.6,337,FALSE
70,1,1_6,2,13,6,5,1,1,F4,Cd1,Cd1,Dja-1,72,37,23,9.6,646,468,FALSE
71,3,3_7,11,10,6,3,2,2,F4,Cd1,Cd1,Dja-1,263,33,28.8,8.6,497.5,347,FALSE
72,5,5_3,2,11,1,13,3,3,F4,Cd1,Cd1,Dja-1,366,34,28.5,10.5,561.1,647,FALSE
73,1,1_6,3,12,3,1,1,1,F4,Cd1,Cd1,Fei-0,73,54,48.4,11.5,693.7,123,FALSE
74,3,3_7,1,15,5,2,2,2,F4,Cd1,Cd1,Fei-0,253,37,45.3,14.2,806.4,574,FALSE
75,5,5_3,13,14,3,7,3,3,F4,Cd1,Cd1,Fei-0,377,33,44.3,11.2,752.7,602,FALSE
76,1,1_6,6,16,3,1,1,1,F4,Cd1,Cd1,Ler-0,76,18,25.7,5.6,270.95,237,FALSE
77,3,3_7,10,4,2,14,2,2,F4,Cd1,Cd1,Ler-0,262,21,24.9,4.8,117,156,FALSE
78,5,5_3,10,12,2,10,3,3,F4,Cd1,Cd1,Ler-0,374,18,25.5,6.2,213.2,460,FALSE
79,1,1_6,8,15,4,14,1,1,F4,Cd1,Cd1,Sap-0,78,26,40.9,8.5,231,236,FALSE
80,3,3_7,5,8,5,8,2,2,F4,Cd1,Cd1,Sap-0,257,28,36.4,6.8,193.1,244,FALSE
81,5,5_3,5,12,3,11,3,3,F4,Cd1,Cd1,Sap-0,369,26,45.6,NA,140.6,217,FALSE
82,1,1_6,11,6,5,11,1,1,F4,Cd1,Cd1,Tol-0,81,46,45.5,8.8,332.6,110,FALSE
83,3,3_7,4,15,6,4,2,2,F4,Cd1,Cd1,Tol-0,256,45,40.1,10,507.1,170,FALSE
84,5,5_3,9,11,5,15,3,3,F4,Cd1,Cd1,Tol-0,373,40,49.7,12.7,NA,246,FALSE
85,1,1_6,1,14,6,1,1,1,F4,Cd1,Cd1,TRE-1,71,44,49.8,16.7,674.8,172,FALSE
86,3,3_7,7,12,6,6,2,2,F4,Cd1,Cd1,TRE-1,259,44,45.3,12.7,514.5,245,FALSE
87,5,5_3,14,16,2,12,3,3,F4,Cd1,Cd1,TRE-1,378,51,53.8,8.2,402.8,140,FALSE
88,1,1_6,10,12,6,12,1,1,F4,Cd1,Cd1,Tri-0,80,37,47.2,11.1,273.5,137,FALSE
89,3,3_7,2,2,1,10,2,2,F4,Cd1,Cd1,Tri-0,254,43,50.6,11.4,377.3,257,FALSE
90,5,5_3,6,13,5,10,3,3,F4,Cd1,Cd1,Tri-0,370,36,48.1,10.4,320.2,253,FALSE
91,1,1_6,9,12,5,13,1,1,F1,Cd1,Cd1,Abd-0,79,43,29,8,208,118,FALSE
92,3,3_7,3,10,5,13,2,2,F1,Cd1,Cd1,Abd-0,255,NA,NA,NA,NA,NA,TRUE
93,5,5_3,12,9,6,13,3,3,F1,Cd1,Cd1,Abd-0,376,48,28.2,12.2,629.3,66,FALSE
94,1,1_6,7,2,5,15,1,1,F1,Cd1,Cd1,Ang-0,77,35,34.2,5.7,122.6,199,FALSE
95,3,3_7,14,3,2,7,2,2,F1,Cd1,Cd1,Ang-0,266,25,34.6,5.9,136.7,253,FALSE
96,5,5_3,4,2,2,4,3,3,F1,Cd1,Cd1,Ang-0,368,24,28.2,4.5,80.8,242,FALSE
97,1,1_6,13,14,1,8,1,1,F1,Cd1,Cd1,aaCol-0,83,NA,NA,NA,NA,NA,FALSE
98,3,3_7,6,13,5,12,2,2,F1,Cd1,Cd1,aaCol-0,258,NA,NA,NA,NA,NA,FALSE
99,5,5_3,3,9,2,8,3,3,F1,Cd1,Cd1,aaCol-0,367,NA,NA,NA,NA,NA,FALSE
100,1,1_6,2,4,3,2,1,1,F1,Cd1,Cd1,Dja-1,72,24,28.2,8.6,191.4,512,FALSE
101,3,3_7,11,9,5,7,2,2,F1,Cd1,Cd1,Dja-1,263,21,20.9,8.2,315.4,665,FALSE
102,5,5_3,2,2,2,3,3,3,F1,Cd1,Cd1,Dja-1,366,24,25.9,8.3,203.6,434,FALSE
103,1,1_6,3,5,2,10,1,1,F1,Cd1,Cd1,Fei-0,73,21,36.8,6.8,146.6,232,FALSE
104,3,3_7,1,6,3,3,2,2,F1,Cd1,Cd1,Fei-0,253,24,40.2,11.1,204.9,281,FALSE
105,5,5_3,13,2,1,14,3,3,F1,Cd1,Cd1,Fei-0,377,26,46.7,9.8,NA,375,FALSE
106,1,1_6,6,4,2,15,1,1,F1,Cd1,Cd1,Ler-0,76,21,21.2,3,62.9,95,FALSE
107,3,3_7,10,11,2,7,2,2,F1,Cd1,Cd1,Ler-0,262,18,23.6,7.1,234.3,301,FALSE
108,5,5_3,10,14,3,10,3,3,F1,Cd1,Cd1,Ler-0,374,16,26.6,7.8,265.5,361,FALSE
109,1,1_6,8,1,3,14,1,1,F1,Cd1,Cd1,Sap-0,78,NA,NA,NA,NA,NA,FALSE
110,3,3_7,5,11,6,13,2,2,F1,Cd1,Cd1,Sap-0,257,NA,NA,NA,NA,NA,FALSE
111,5,5_3,5,11,6,6,3,3,F1,Cd1,Cd1,Sap-0,369,NA,NA,NA,NA,NA,FALSE
112,1,1_6,11,5,4,12,1,1,F1,Cd1,Cd1,Tol-0,81,NA,NA,NA,NA,NA,TRUE
113,3,3_7,4,16,3,6,2,2,F1,Cd1,Cd1,Tol-0,256,27,44.7,11.2,365.3,195,FALSE
114,5,5_3,9,7,4,4,3,3,F1,Cd1,Cd1,Tol-0,373,41,45.8,9.9,388.6,195,FALSE
115,1,1_6,1,3,4,11,1,1,F1,Cd1,Cd1,TRE-1,71,22,39.6,NA,145.3,263,FALSE
116,3,3_7,7,9,4,10,2,2,F1,Cd1,Cd1,TRE-1,259,30,57.2,11.1,515.8,508,FALSE
117,5,5_3,14,6,1,1,3,3,F1,Cd1,Cd1,TRE-1,378,22,37.3,3.3,115.7,233,FALSE
118,1,1_6,10,14,1,1,1,1,F1,Cd1,Cd1,Tri-0,80,23,46.7,11.6,391.9,409,FALSE
119,3,3_7,2,3,2,11,2,2,F1,Cd1,Cd1,Tri-0,254,28,47.8,11,234.9,268,FALSE
120,5,5_3,6,9,6,8,3,3,F1,Cd1,Cd1,Tri-0,370,32,38.2,9.2,212.2,232,FALSE
121,7,7_2,3,2,3,3,4,4,F2,Cd1,Cd1,Abd-0,451,29,34.6,8.6,244.1,278,FALSE
122,9,9_2,5,6,1,7,5,5,F2,Cd1,Cd1,Abd-0,621,32,33.1,8.6,NA,307,FALSE
123,11,11_7,2,5,6,10,6,6,F2,Cd1,Cd1,Abd-0,856,39,40.6,10.4,517.7,340,FALSE
124,7,7_2,12,16,1,3,4,4,F2,Cd1,Cd1,Ang-0,460,27,41.1,4.7,NA,204,FALSE
125,9,9_2,2,11,3,6,5,5,F2,Cd1,Cd1,Ang-0,618,24,48.2,6.5,NA,201,FALSE
126,11,11_7,12,13,1,15,6,6,F2,Cd1,Cd1,Ang-0,866,32,42.7,4,324.9,418,FALSE
127,7,7_2,9,1,5,11,4,4,F2,Cd1,Cd1,aaCol-0,457,23,32.7,8,258.2,340,FALSE
128,9,9_2,8,2,5,6,5,5,F2,Cd1,Cd1,aaCol-0,624,25,51.2,10.2,259.5,512,FALSE
