"","gen","trait","Estimate","Std. Error","df","t value","Pr(>|t|)","ecotype","treat"
"ecotypeAng-1:treat.1Leaf4","Anc","fruit",-50.6665032287891,37.1439675583262,666.129467876117,-1.36405738426378,0.173010207769664,"Ang-1","Leaf"
"ecotypeDja-1:treat.1Leaf4","Anc","fruit",-3.28299899294531,36.5795654525333,662.01491283969,-0.0897495350841559,0.928513396883361,"Dja-1","Leaf"
"ecotypeEn-1:treat.1Leaf4","Anc","fruit",0.717001007054835,36.5795654525332,662.014912816264,0.0196011351743704,0.98436746428739,"En-1","Leaf"
"ecotypeFei-0:treat.1Leaf4","Anc","fruit",-89.8767296393691,38.5579808477099,670.916131341247,-2.3309501084704,0.0200513615627529,"Fei-0","Leaf"
"ecotypeKar-1:treat.1Leaf4","Anc","fruit",-69.9275589319719,37.7583085543571,666.507882570933,-1.85197805752617,0.0644709848499827,"Kar-1","Leaf"
"ecotypeLer-0:treat.1Leaf4","Anc","fruit",-43.7249666540403,37.756544055575,666.582067054175,-1.15807650694089,0.24724757114499,"Ler-0","Leaf"
"ecotypeOlympia-0:treat.1Leaf4","Anc","fruit",-116.699665659612,36.5795654525332,662.014912909105,-3.19029666470601,0.00148839263292656,"Olympia-0","Leaf"
"ecotypeSap-0:treat.1Leaf4","Anc","fruit",-10.6817971322181,40.015933534592,673.416846759441,-0.266938596421451,0.789598161538564,"Sap-0","Leaf"
"ecotypeTol-0:treat.1Leaf4","Anc","fruit",-88.4687405135349,37.1471802722729,665.962375116799,-2.3815735101587,0.0175188034608308,"Tol-0","Leaf"
"ecotypeTRE-1:treat.1Leaf4","Anc","fruit",-6.53299899294524,36.5795654525332,662.014912812206,-0.178596954669203,0.858308826066792,"TRE-1","Leaf"
"ecotypeTri-1:treat.1Leaf4","Anc","fruit",31.0161631503638,43.8600293423045,681.41857863615,0.707162389434328,0.479707329569288,"Tri-1","Leaf"
"ecotypeWs-2:treat.1Leaf4","Anc","fruit",-116.616332326279,36.5795654525332,662.014912865169,-3.18801852574229,0.00149998827305917,"Ws-2","Leaf"
"ecotypeaaCol-0:treat.1Nutrient14","Anc","fruit",-84.6025621144968,39.4153941636621,672.521521928609,-2.14643450635574,0.0321954095484784,"aaCol-0","Nutrient1"
"ecotypeAbd-0:treat.1Nutrient14","Anc","fruit",-29.6248441057846,42.6436656215405,680.167398044602,-0.69470679112586,0.487476304418341,"Abd-0","Nutrient1"
"ecotypeAng-1:treat.1Nutrient14","Anc","fruit",-53.1665032287891,37.1439675583262,666.129467864958,-1.43136306441425,0.152795173176095,"Ang-1","Nutrient1"
"ecotypeDja-1:treat.1Nutrient14","Anc","fruit",-39.6163323262786,36.5795654525333,662.014912872804,-1.08301812326573,0.279194675825714,"Dja-1","Nutrient1"
"ecotypeEn-1:treat.1Nutrient14","Anc","fruit",-50.4496656596118,36.5795654525332,662.014912797628,-1.37917618854923,0.168306179123979,"En-1","Nutrient1"
"ecotypeFei-0:treat.1Nutrient14","Anc","fruit",-112.210062972702,38.5579808477099,670.916131398284,-2.91016439413391,0.00373206531072342,"Fei-0","Nutrient1"
"ecotypeKar-1:treat.1Nutrient14","Anc","fruit",-83.9275589319719,37.7583085543571,666.507882555913,-2.22275737831712,0.0265668944227752,"Kar-1","Nutrient1"
"ecotypeLer-0:treat.1Nutrient13","Anc","fruit",-28.7249666540402,37.756544055575,666.582067081765,-0.760794383399049,0.447048922170786,"Ler-0","Nutrient1"
"ecotypeOlympia-0:treat.1Nutrient14","Anc","fruit",-167.032998992945,36.5795654525332,662.014912842774,-4.56629259879241,5.91985615444188e-06,"Olympia-0","Nutrient1"
"ecotypeSap-0:treat.1Nutrient14","Anc","fruit",-63.4773521683836,40.0158888328862,673.422613263525,-1.58630369135313,0.113139852193393,"Sap-0","Nutrient1"
"ecotypeTol-0:treat.1Nutrient14","Anc","fruit",-78.9687405135349,37.1471802722729,665.962375126607,-2.12583404540339,0.0338843952006016,"Tol-0","Nutrient1"
"ecotypeTRE-1:treat.1Nutrient14","Anc","fruit",-17.1996656596118,36.5795654525332,662.014912837476,-0.470198742025262,0.638367890577244,"TRE-1","Nutrient1"
"ecotypeTri-1:treat.1Nutrient14","Anc","fruit",-71.407439061991,40.7506248775628,675.67710225052,-1.75230292238556,0.0801753157648155,"Tri-1","Nutrient1"
"ecotypeWs-2:treat.1Nutrient14","Anc","fruit",-86.1163323262786,36.5795654525332,662.014912911912,-2.35421966502106,0.0188528367610298,"Ws-2","Nutrient1"
"ecotypeaaCol-0:treat.1Nutrient24","Anc","fruit",88.6604411538705,37.1439063784488,666.119310867283,2.38694444925998,0.0172670815009496,"aaCol-0","Nutrient2"
"ecotypeAbd-0:treat.1Nutrient24","Anc","fruit",-30.0341228234282,37.1489677054965,665.846404619751,-0.808477992215767,0.419104232480846,"Abd-0","Nutrient2"
"ecotypeAng-1:treat.1Nutrient24","Anc","fruit",18.9219356779825,39.4346876887087,673.475792586321,0.479829733339069,0.631504258994319,"Ang-1","Nutrient2"
"ecotypeDja-1:treat.1Nutrient24","Anc","fruit",-6.0945600861737,38.9005819930159,670.229690169232,-0.156670151805644,0.875551992318769,"Dja-1","Nutrient2"
"ecotypeEn-1:treat.1Nutrient24","Anc","fruit",40.8836676737215,36.5795654525332,662.01491285148,1.11766411568703,0.264115906033776,"En-1","Nutrient2"
"ecotypeFei-0:treat.1Nutrient24","Anc","fruit",-225.174101816242,40.7709493044143,677.127141604844,-5.52290554078077,4.75672688781119e-08,"Fei-0","Nutrient2"
"ecotypeKar-1:treat.1Nutrient24","Anc","fruit",-72.9275589319718,37.7583085543571,666.507882599258,-1.93143076912423,0.0538534575152308,"Kar-1","Nutrient2"
"ecotypeLer-0:treat.1Nutrient24","Anc","fruit",-0.39163332070686,37.756544055575,666.582067039779,-0.0103725944866777,0.991727118934562,"Ler-0","Nutrient2"
"ecotypeOlympia-0:treat.1Nutrient24","Anc","fruit",14.1880822912711,42.1365998254169,677.805724780686,0.336716354666872,0.736434958920848,"Olympia-0","Nutrient2"
"ecotypeSap-0:treat.1Nutrient24","Anc","fruit",-18.3088825984402,40.01338567896,673.57867784429,-0.457568943186615,0.64740971285641,"Sap-0","Nutrient2"
"ecotypeTol-0:treat.1Nutrient24","Anc","fruit",-51.6354071802015,37.1471802722729,665.962375180011,-1.39002225207233,0.164986547271896,"Tol-0","Nutrient2"
"ecotypeTRE-1:treat.1Nutrient24","Anc","fruit",-102.992052343929,38.8983775996569,670.556627416256,-2.64772102846874,0.00829412190755246,"TRE-1","Nutrient2"
