layer,P.layer,P.row,replicate,Row,Col,treat.1,Generation,ecotype,treat,flt,height,diam,biomass,fruit,rm,id
11,10,10_5,5,4,8,Nutrient1,F2,Ang-0,Nutrient1,37,41.2,8.4,300,173,FALSE,759
12,11,11_1,6,4,6,actr,F2,Ang-0,actr1,44,42,8.5,304.6,188,FALSE,784
12,11,11_2,6,4,1,JActr,F2,Ang-0,JActr,34,38.8,8,282.7,167,FALSE,789
4,11,11_3,6,6,5,JA,F2,Ang-0,JA,33,33.8,6.2,166.8,123,FALSE,801
4,11,11_4,6,4,4,Cd2,F2,Ang-0,Cd2,36,38,6.8,193.7,118,FALSE,821
12,11,11_5,6,3,6,Salt1,F2,Ang-0,Salt1,32,32.8,6.5,190.8,159,FALSE,831
12,11,11_6,6,1,9,Salt2,F2,Ang-0,Salt2,30,36.1,8.2,239.8,145,FALSE,843
4,11,11_7,6,2,4,Cd1,F2,Ang-0,Cd1,33,34.5,6.6,155.3,125,FALSE,866
4,12,12_3,6,2,12,Drought,F2,Ang-0,Drought,40,36.5,7.9,160.6,94,FALSE,881
4,12,12_4,6,3,12,Nutrient2,F2,Ang-0,Nutrient2,32,NA,7.3,87.8,117,FALSE,885
4,12,12_5,6,2,2,actr,F2,Ang-0,actr2,32,36.5,8.5,207.7,154,FALSE,905
4,12,12_6,6,3,8,Leaf,F2,Ang-0,Leaf,32,36,NA,161.8,130,FALSE,924
4,12,12_7,6,5,7,Nutrient1,F2,Ang-0,Nutrient1,34,33.9,6.8,152.1,118,FALSE,938
6,6,6_1,3,5,12,Leaf,F2,Ang-0,Leaf,33,32.1,6.7,158.9,178,FALSE,940
6,6,6_2,3,3,8,Nutrient1,F2,Ang-0,Nutrient1,34,41.2,8.5,259.6,145,FALSE,958
2,6,6_3,3,2,5,Drought,F2,Ang-0,Drought,35,24.4,6.1,92.8,48,FALSE,974
2,6,6_5,3,5,9,Nutrient2,F2,Ang-0,Nutrient2,34,28.5,7,150.8,162,FALSE,990
6,6,6_7,3,4,3,actr,F2,Ang-0,actr2,33,32.3,6.2,156.5,123,FALSE,1006
11,1,1_1,1,5,14,JA,F3,Ang-0,JA,51,43,8,323.5,155,FALSE,14
11,1,1_2,1,5,5,Salt1,F3,Ang-0,Salt1,44,39.1,7.9,345.8,152,FALSE,15
1,1,1_3,1,2,6,Salt2,F3,Ang-0,Salt2,47,35.6,9.4,291.9,162,FALSE,37
1,1,1_4,1,4,14,Cd2,F3,Ang-0,Cd2,62,35.3,9.4,441.8,177,FALSE,51
1,1,1_5,1,3,14,actr,F3,Ang-0,actr1,42,38.9,8.5,295.2,136,FALSE,64
11,1,1_6,1,2,1,Cd1,F3,Ang-0,Cd1,43,45.2,9.5,381.1,257,FALSE,77
11,1,1_7,1,1,7,JActr,F3,Ang-0,JActr,46,44.4,8.4,310.3,171,FALSE,86
1,2,2_1,1,1,6,Nutrient2,F3,Ang-0,Nutrient2,32,38.3,10,224.6,176,FALSE,108
11,2,2_2,1,1,5,actr,F3,Ang-0,actr2,39,37.9,9,322.7,169,FALSE,120
11,2,2_4,1,1,8,Drought,F3,Ang-0,Drought,43,46,8.8,396.4,174,FALSE,130
1,2,2_5,1,3,8,Leaf,F3,Ang-0,Leaf,55,33.2,8.4,330.1,149,FALSE,142
11,2,2_6,1,5,9,Nutrient1,F3,Ang-0,Nutrient1,47,43,8.5,373.2,184,FALSE,168
4,3,3_1,2,3,12,JA,F3,Ang-0,JA,52,37.1,9.5,556.3,137,FALSE,171
4,3,3_2,2,5,11,Salt2,F3,Ang-0,Salt2,58,42.1,8.5,349.1,150,FALSE,196
6,3,3_3,2,4,11,Salt1,F3,Ang-0,Salt1,47,42.2,8,232.8,90,FALSE,207
6,3,3_4,2,4,4,Cd2,F3,Ang-0,Cd2,49,38.8,7.8,311.9,115,FALSE,211
4,3,3_5,2,6,14,actr,F3,Ang-0,actr1,66,37.1,8.7,351.1,111,FALSE,231
4,3,3_6,2,6,9,JActr,F3,Ang-0,JActr,38,35.8,10.3,275.4,179,FALSE,247
4,3,3_7,2,3,1,Cd1,F3,Ang-0,Cd1,55,34.5,9,476.3,219,FALSE,266
4,4,4_1,2,3,6,Drought,F3,Ang-0,Drought,49,40,8.5,254.8,89,FALSE,280
6,4,4_3,2,6,7,Leaf,F3,Ang-0,Leaf,40,36.2,7.3,273.5,126,FALSE,293
6,4,4_4,2,2,9,Nutrient1,F3,Ang-0,Nutrient1,35,39.8,9.5,253.5,156,FALSE,299
6,4,4_6,2,1,2,actr,F3,Ang-0,actr2,35,38.5,8,288,163,FALSE,316
4,4,4_7,2,5,12,Nutrient2,F3,Ang-0,Nutrient2,46,33.2,9.2,207.5,84,FALSE,325
12,5,5_1,3,6,12,Salt1,F3,Ang-0,Salt1,34,41.6,8.7,281.6,95,FALSE,341
8,5,5_2,3,4,3,JActr,F3,Ang-0,JActr,43,43.4,7.5,212.5,85,FALSE,354
8,5,5_3,3,1,2,Cd1,F3,Ang-0,Cd1,55,43.8,6.4,263.7,118,FALSE,368
12,5,5_4,3,5,5,Cd2,F3,Ang-0,Cd2,38,35,10.1,421.7,222,FALSE,387
8,5,5_5,3,1,9,JA,F3,Ang-0,JA,44,42.5,8.4,233.2,116,FALSE,402
8,5,5_6,3,6,4,Salt2,F3,Ang-0,Salt2,47,41.7,7.2,330.3,174,FALSE,415
12,5,5_7,3,2,14,actr,F3,Ang-0,actr1,43,35.3,NA,255.1,154,FALSE,428
3,7,7_1,4,1,1,Cd2,F3,Ang-0,Cd2,52,35,7.8,224.8,131,FALSE,448
3,7,7_2,4,4,4,Cd1,F3,Ang-0,Cd1,54,37.9,8.4,396.4,196,FALSE,460
10,7,7_3,4,1,1,JA,F3,Ang-0,JA,50,39.6,8,258,131,FALSE,464
10,7,7_4,4,2,2,actr,F3,Ang-0,actr1,57,43,7.5,304,224,FALSE,483
10,7,7_5,4,4,3,Salt1,F3,Ang-0,Salt1,46,42.1,7.8,257.6,150,FALSE,497
3,7,7_6,4,2,4,JActr,F3,Ang-0,JActr,51,40,8.2,277.5,157,FALSE,515
10,7,7_7,4,6,11,Salt2,F3,Ang-0,Salt2,34,32.8,NA,144.7,95,FALSE,531
10,8,8_1,4,5,1,Drought,F3,Ang-0,Drought,60,44.9,7.3,NA,213,FALSE,546
3,8,8_2,4,4,2,Nutrient1,F3,Ang-0,Nutrient1,49,36.6,7.7,200.7,93,FALSE,551
10,8,8_3,4,5,6,Nutrient2,F3,Ang-0,Nutrient2,47,41.8,7.2,374.4,191,FALSE,561
10,8,8_6,4,3,7,Leaf,F3,Ang-0,Leaf,29,37.5,NA,146.5,113,FALSE,581
3,8,8_7,4,2,11,actr,F3,Ang-0,actr2,47,43.3,8.2,289.6,175,FALSE,601
5,9,9_1,5,1,7,actr,F3,Ang-0,actr1,52,39.3,8.9,475.5,162,FALSE,616
5,9,9_2,5,3,1,Cd1,F3,Ang-0,Cd1,55,39.9,9,425.9,174,FALSE,618
5,9,9_3,5,6,13,Cd2,F3,Ang-0,Cd2,47,28.6,8,253.6,117,FALSE,634
5,9,9_4,5,2,11,Salt1,F3,Ang-0,Salt1,53,41.7,7.1,352.1,132,FALSE,645
7,9,9_5,5,6,11,Salt2,F3,Ang-0,Salt2,53,39.6,8.8,322.1,122,FALSE,663
7,9,9_6,5,3,13,JA,F3,Ang-0,JA,51,37.9,10,340.7,152,FALSE,673
5,9,9_7,5,2,6,JActr,F3,Ang-0,JActr,NA,46,8,510.2,188,FALSE,691
5,10,10_1,5,3,4,actr,F3,Ang-0,actr2,43,39.3,9.3,435.3,162,FALSE,714
7,10,10_2,5,6,13,Drought,F3,Ang-0,Drought,40,46.1,9.7,270.8,195,FALSE,720
7,10,10_3,5,6,14,Nutrient2,F3,Ang-0,Nutrient2,45,42.5,7.9,243.2,123,FALSE,733
7,10,10_4,5,1,11,Leaf,F3,Ang-0,Leaf,50,38.8,7.8,190.1,111,FALSE,753
7,10,10_5,5,2,3,Nutrient1,F3,Ang-0,Nutrient1,53,35.3,8,232.9,98,FALSE,759
9,11,11_1,6,6,6,actr,F3,Ang-0,actr1,49,39.1,9.5,415.6,144,FALSE,784
9,11,11_2,6,3,14,JActr,F3,Ang-0,JActr,53,37.9,10.5,263,96,FALSE,789
2,11,11_3,6,4,9,JA,F3,Ang-0,JA,51,36.5,9.5,361.1,194,FALSE,801
9,11,11_4,6,6,4,Cd2,F3,Ang-0,Cd2,45,36.9,7.5,337.1,170,FALSE,821
2,11,11_5,6,4,7,Salt1,F3,Ang-0,Salt1,42,38.8,NA,219.7,140,FALSE,831
9,11,11_6,6,2,14,Salt2,F3,Ang-0,Salt2,62,41.7,8.8,NA,155,FALSE,843
9,11,11_7,6,4,11,Cd1,F3,Ang-0,Cd1,49,41.4,8.8,315.1,147,FALSE,866
2,12,12_3,6,5,6,Drought,F3,Ang-0,Drought,49,37.2,8.2,262.7,144,FALSE,881
9,12,12_4,6,1,10,Nutrient2,F3,Ang-0,Nutrient2,68,NA,NA,NA,NA,FALSE,885
2,12,12_5,6,6,1,actr,F3,Ang-0,actr2,54,40.7,9.5,315.5,164,FALSE,905
2,12,12_6,6,6,9,Leaf,F3,Ang-0,Leaf,34,38.9,9.2,239.2,182,FALSE,924
2,12,12_7,6,5,8,Nutrient1,F3,Ang-0,Nutrient1,53,35.8,8.9,325.6,144,FALSE,938
12,6,6_1,3,6,4,Leaf,F3,Ang-0,Leaf,37,42.2,9.8,346,185,FALSE,940
12,6,6_2,3,5,10,Nutrient1,F3,Ang-0,Nutrient1,45,41.5,9.5,433.6,230,FALSE,958
8,6,6_3,3,5,14,Drought,F3,Ang-0,Drought,49,39.3,9,299.1,126,FALSE,974
12,6,6_5,3,5,6,Nutrient2,F3,Ang-0,Nutrient2,38,34.2,9.2,NA,182,FALSE,990
12,6,6_7,3,4,5,actr,F3,Ang-0,actr2,46,37.6,8.1,408.1,187,FALSE,1006
5,1,1_1,1,5,4,JA,F4,Ang-0,JA,33,33.4,6.2,132.3,100,FALSE,14
5,1,1_2,1,6,14,Salt1,F4,Ang-0,Salt1,51,32.4,6.3,NA,77,FALSE,15
9,1,1_3,1,4,2,Salt2,F4,Ang-0,Salt2,54,36,4.3,173.5,72,FALSE,37
5,1,1_4,1,3,8,Cd2,F4,Ang-0,Cd2,66,29.9,6.2,247.7,57,FALSE,51
5,1,1_5,1,1,14,actr,F4,Ang-0,actr1,66,34.2,5.8,266,83,FALSE,64
5,1,1_6,1,3,11,Cd1,F4,Ang-0,Cd1,53,33.9,4.1,151.9,61,FALSE,77
9,1,1_7,1,6,13,JActr,F4,Ang-0,JActr,48,32.8,5.9,183.3,82,FALSE,86
5,2,2_1,1,5,9,Nutrient2,F4,Ang-0,Nutrient2,52,34,6.4,NA,102,FALSE,108
9,2,2_2,1,2,4,actr,F4,Ang-0,actr2,43,34.5,4.6,182.3,87,FALSE,120
9,2,2_4,1,4,5,Drought,F4,Ang-0,Drought,47,35.1,5.9,160.1,77,FALSE,130
5,2,2_5,1,2,14,Leaf,F4,Ang-0,Leaf,45,39.3,7.3,230.6,125,FALSE,142
5,2,2_6,1,5,11,Nutrient1,F4,Ang-0,Nutrient1,59,25.6,5,221,65,FALSE,168
4,3,3_1,2,4,8,JA,F4,Ang-0,JA,38,36.1,8.2,298.2,142,FALSE,171
4,3,3_2,2,2,10,Salt2,F4,Ang-0,Salt2,68,25.2,6.1,176.3,35,FALSE,196
4,3,3_3,2,1,2,Salt1,F4,Ang-0,Salt1,49,33.2,6.3,214.6,117,FALSE,207
4,3,3_4,2,2,9,Cd2,F4,Ang-0,Cd2,65,25.2,6.5,188.7,26,FALSE,211
4,3,3_5,2,5,5,actr,F4,Ang-0,actr1,46,33.5,7.1,221.6,109,FALSE,231
4,3,3_6,2,4,3,JActr,F4,Ang-0,JActr,56,29.7,6.1,262.7,92,FALSE,247
7,3,3_7,2,3,9,Cd1,F4,Ang-0,Cd1,60,33.9,4.3,173.7,57,FALSE,266
4,4,4_1,2,3,8,Drought,F4,Ang-0,Drought,48,32.3,7.1,217.8,89,FALSE,280
4,4,4_3,2,1,13,Leaf,F4,Ang-0,Leaf,64,33.1,6.5,208.7,74,FALSE,293
4,4,4_4,2,3,5,Nutrient1,F4,Ang-0,Nutrient1,53,31.4,6.2,328.8,85,FALSE,299
4,4,4_6,2,2,2,actr,F4,Ang-0,actr2,48,32,6.3,283.3,165,FALSE,316
7,4,4_7,2,6,7,Nutrient2,F4,Ang-0,Nutrient2,60,27.1,4.7,124.9,45,FALSE,325
12,5,5_1,3,4,14,Salt1,F4,Ang-0,Salt1,NA,NA,NA,NA,NA,FALSE,341
1,5,5_2,3,5,2,JActr,F4,Ang-0,JActr,67,32.1,4.7,132.6,104,FALSE,354
1,5,5_3,3,3,12,Cd1,F4,Ang-0,Cd1,46,35.8,5.4,259.4,148,FALSE,368
12,5,5_4,3,3,9,Cd2,F4,Ang-0,Cd2,44,35.8,5.8,213.5,134,FALSE,387
12,5,5_5,3,1,8,JA,F4,Ang-0,JA,39,38.7,4.4,198.5,75,FALSE,402
12,5,5_6,3,5,5,Salt2,F4,Ang-0,Salt2,47,38.2,8.3,174,84,FALSE,415
12,5,5_7,3,5,7,actr,F4,Ang-0,actr1,38,NA,NA,NA,NA,FALSE,428
8,7,7_1,4,2,9,Cd2,F4,Ang-0,Cd2,56,29.3,5.8,159.1,94,FALSE,448
8,7,7_2,4,3,11,Cd1,F4,Ang-0,Cd1,56,25.8,5.9,174.1,68,FALSE,460
2,7,7_3,4,5,1,JA,F4,Ang-0,JA,60,26.1,5.7,94,51,FALSE,464
2,7,7_4,4,1,13,actr,F4,Ang-0,actr1,63,33.6,5.8,151.3,68,FALSE,483
8,7,7_5,4,2,13,Salt1,F4,Ang-0,Salt1,63,32.7,5.6,177.8,61,FALSE,497
2,7,7_6,4,3,9,JActr,F4,Ang-0,JActr,51,30.5,5.7,218.8,89,FALSE,515
8,7,7_7,4,1,4,Salt2,F4,Ang-0,Salt2,56,32,5.2,152.7,61,FALSE,531
2,8,8_1,4,2,2,Drought,F4,Ang-0,Drought,54,32.5,6.4,196.6,100,FALSE,546
8,8,8_2,4,6,3,Nutrient1,F4,Ang-0,Nutrient1,48,35.5,5.3,181.3,96,FALSE,551
2,8,8_3,4,1,12,Nutrient2,F4,Ang-0,Nutrient2,23,25.1,4,108.3,91,FALSE,561
8,8,8_6,4,5,8,Leaf,F4,Ang-0,Leaf,54,27.2,5.7,NA,68,FALSE,581
8,8,8_7,4,3,3,actr,F4,Ang-0,actr2,47,37,7.2,311.3,118,FALSE,601
10,9,9_1,5,4,6,actr,F4,Ang-0,actr1,28,39.2,8.1,311,141,FALSE,616
10,9,9_2,5,1,7,Cd1,F4,Ang-0,Cd1,49,35.7,6.9,202.8,97,FALSE,618
3,9,9_3,5,5,5,Cd2,F4,Ang-0,Cd2,30,28.9,2.6,NA,78,FALSE,634
3,9,9_4,5,4,1,Salt1,F4,Ang-0,Salt1,36,28.7,4.1,NA,96,FALSE,645
3,9,9_5,5,4,10,Salt2,F4,Ang-0,Salt2,49,33.8,6.4,248.7,112,FALSE,663
3,9,9_6,5,1,11,JA,F4,Ang-0,JA,48,39.4,5.5,NA,162,FALSE,673
10,9,9_7,5,3,6,JActr,F4,Ang-0,JActr,43,35.6,6.5,178.5,130,FALSE,691
10,10,10_1,5,2,10,actr,F4,Ang-0,actr2,45,34.6,7.6,236.6,124,FALSE,714
3,10,10_2,5,6,4,Drought,F4,Ang-0,Drought,59,NA,NA,NA,NA,FALSE,720
10,10,10_3,5,5,6,Nutrient2,F4,Ang-0,Nutrient2,50,35.8,5,169.4,96,FALSE,733
3,10,10_4,5,2,1,Leaf,F4,Ang-0,Leaf,77,35.9,4.6,215.8,105,FALSE,753
10,10,10_5,5,6,5,Nutrient1,F4,Ang-0,Nutrient1,49,33.2,6.4,235.8,112,FALSE,759
11,11,11_1,6,5,9,actr,F4,Ang-0,actr1,42,35.1,6.9,273,119,FALSE,784
11,11,11_2,6,4,6,JActr,F4,Ang-0,JActr,38,31.6,7.6,204.9,82,FALSE,789
11,11,11_3,6,4,12,JA,F4,Ang-0,JA,27,33.4,6,247.1,59,FALSE,801
6,11,11_4,6,2,6,Cd2,F4,Ang-0,Cd2,44,40.2,4.7,199.3,113,FALSE,821
11,11,11_5,6,1,11,Salt1,F4,Ang-0,Salt1,36,34.8,5.2,114.3,82,FALSE,831
6,11,11_6,6,1,8,Salt2,F4,Ang-0,Salt2,39,32.3,5.6,154,66,FALSE,843
6,11,11_7,6,1,11,Cd1,F4,Ang-0,Cd1,71,32.5,4.2,70.6,58,FALSE,866
11,12,12_3,6,1,13,Drought,F4,Ang-0,Drought,48,33.5,5.5,140.4,111,FALSE,881
6,12,12_4,6,4,3,Nutrient2,F4,Ang-0,Nutrient2,39,32.4,6.8,159.8,61,FALSE,885
6,12,12_5,6,2,10,actr,F4,Ang-0,actr2,42,35.6,4.9,167.8,93,FALSE,905
6,12,12_6,6,5,9,Leaf,F4,Ang-0,Leaf,44,39.2,6.4,203.8,108,FALSE,924
11,12,12_7,6,3,9,Nutrient1,F4,Ang-0,Nutrient1,36,38.1,8.2,206.6,105,FALSE,938
12,6,6_1,3,3,8,Leaf,F4,Ang-0,Leaf,43,32.8,5,120.4,80,FALSE,940
1,6,6_2,3,5,14,Nutrient1,F4,Ang-0,Nutrient1,52,26.2,5.2,NA,95,FALSE,958
1,6,6_3,3,3,7,Drought,F4,Ang-0,Drought,56,NA,NA,NA,NA,FALSE,974
1,6,6_5,3,3,8,Nutrient2,F4,Ang-0,Nutrient2,59,24.6,5.6,172.8,62,FALSE,990
1,6,6_7,3,4,12,actr,F4,Ang-0,actr2,55,26.2,5.5,213.6,45,FALSE,1006
4,1,1_1,1,4,9,JA,F1,Dja-1,JA,42,20,8.6,107.2,91,FALSE,9
4,1,1_2,1,6,2,Salt1,F1,Dja-1,Salt1,36,20.7,7,90.8,125,FALSE,27
3,1,1_3,1,2,13,Salt2,F1,Dja-1,Salt2,NA,NA,NA,NA,NA,FALSE,34
3,1,1_4,1,1,3,Cd2,F1,Dja-1,Cd2,41,22,7,145.3,138,FALSE,48
4,1,1_5,1,2,13,actr,F1,Dja-1,actr1,46,20.5,9.1,178.9,143,FALSE,68
4,1,1_6,1,6,11,Cd1,F1,Dja-1,Cd1,38,23.3,7.7,150.1,210,FALSE,72
3,1,1_7,1,3,11,JActr,F1,Dja-1,JActr,35,21,5.2,125.2,114,FALSE,91
3,2,2_1,1,4,14,Nutrient2,F1,Dja-1,Nutrient2,47,20.3,10.3,199.4,124,FALSE,110
3,2,2_2,1,4,6,actr,F1,Dja-1,actr2,34,19.2,6.4,109.4,135,FALSE,126
4,2,2_4,1,3,3,Drought,F1,Dja-1,Drought,42,22.9,8.6,157.3,136,FALSE,127
3,2,2_5,1,6,9,Leaf,F1,Dja-1,Leaf,40,24.5,7.8,180.4,129,FALSE,149
4,2,2_6,1,6,13,Nutrient1,F1,Dja-1,Nutrient1,51,18.4,8.8,133.7,149,FALSE,163
5,3,3_1,2,2,4,JA,F1,Dja-1,JA,41,22.5,8.7,202.4,182,FALSE,175
9,3,3_2,2,5,2,Salt2,F1,Dja-1,Salt2,NA,NA,NA,NA,NA,FALSE,191
5,3,3_3,2,2,9,Salt1,F1,Dja-1,Salt1,35,21,6.5,135.1,157,FALSE,203
9,3,3_4,2,6,4,Cd2,F1,Dja-1,Cd2,45,18.4,9,191,108,FALSE,220
5,3,3_5,2,4,1,actr,F1,Dja-1,actr1,50,17.4,9.1,156,65,FALSE,235
9,3,3_6,2,6,9,JActr,F1,Dja-1,JActr,51,16.8,9.4,207.5,130,FALSE,249
9,3,3_7,2,6,10,Cd1,F1,Dja-1,Cd1,38,21.1,4.8,115.6,199,FALSE,263
9,4,4_1,2,4,2,Drought,F1,Dja-1,Drought,37,16.5,5.8,40.4,86,FALSE,275
9,4,4_3,2,1,7,Leaf,F1,Dja-1,Leaf,52,19.1,NA,142.8,104,FALSE,290
9,4,4_4,2,2,13,Nutrient1,F1,Dja-1,Nutrient1,43,19.1,5,98.5,84,FALSE,301
5,4,4_6,2,4,8,actr,F1,Dja-1,actr2,44,21,8.5,133.4,100,FALSE,319
9,4,4_7,2,1,3,Nutrient2,F1,Dja-1,Nutrient2,41,18,5.7,103.6,139,FALSE,328
1,5,5_1,3,3,1,Salt1,F1,Dja-1,Salt1,57,25.7,NA,155.3,178,FALSE,346
1,5,5_2,3,1,11,JActr,F1,Dja-1,JActr,37,23.4,6.1,149.5,131,FALSE,355
11,5,5_3,3,1,1,Cd1,F1,Dja-1,Cd1,53,18.2,9.9,187.9,89,FALSE,366
11,5,5_4,3,3,3,Cd2,F1,Dja-1,Cd2,42,21,8.5,192.6,132,FALSE,385
1,5,5_5,3,4,5,JA,F1,Dja-1,JA,39,18.9,8.1,112.3,123,FALSE,395
1,5,5_6,3,1,12,Salt2,F1,Dja-1,Salt2,NA,NA,NA,NA,NA,FALSE,417
11,5,5_7,3,3,5,actr,F1,Dja-1,actr1,47,22.8,8.3,178.5,159,FALSE,430
6,7,7_1,4,1,10,Cd2,F1,Dja-1,Cd2,61,13.4,3.3,46.4,64,FALSE,443
6,7,7_2,4,1,14,Cd1,F1,Dja-1,Cd1,35,12.8,4.8,19.8,24,FALSE,459
6,7,7_3,4,1,6,JA,F1,Dja-1,JA,35,21.7,6.5,127.1,130,FALSE,465
8,7,7_4,4,6,7,actr,F1,Dja-1,actr1,38,19.1,6.1,110.8,66,FALSE,485
6,7,7_5,4,4,9,Salt1,F1,Dja-1,Salt1,34,16.5,NA,37.3,57,FALSE,498
8,7,7_6,4,2,2,JActr,F1,Dja-1,JActr,43,19.5,5.8,146.5,96,FALSE,507
6,7,7_7,4,5,5,Salt2,F1,Dja-1,Salt2,NA,NA,NA,NA,NA,FALSE,521
8,8,8_1,4,3,14,Drought,F1,Dja-1,Drought,49,15,8.8,76.6,25,FALSE,541
8,8,8_2,4,6,11,Nutrient1,F1,Dja-1,Nutrient1,40,20.5,5.4,43.6,51,FALSE,557
8,8,8_3,4,2,9,Nutrient2,F1,Dja-1,Nutrient2,56,14.1,6.7,NA,81,FALSE,571
6,8,8_6,4,1,12,Leaf,F1,Dja-1,Leaf,33,18,5.9,49.3,76,FALSE,582
6,8,8_7,4,4,5,actr,F1,Dja-1,actr2,34,17.8,5.3,77.8,119,FALSE,596
7,9,9_1,5,3,8,actr,F1,Dja-1,actr1,38,20.2,6,66.7,110,FALSE,611
7,9,9_2,5,6,3,Cd1,F1,Dja-1,Cd1,56,14.5,4.9,50.4,25,FALSE,628
7,9,9_3,5,2,6,Cd2,F1,Dja-1,Cd2,NA,NA,8.8,NA,NA,FALSE,643
7,9,9_4,5,5,13,Salt1,F1,Dja-1,Salt1,46,16.1,6,94,87,FALSE,650
7,9,9_5,5,2,1,Salt2,F1,Dja-1,Salt2,NA,NA,NA,NA,NA,FALSE,666
2,9,9_6,5,3,7,JA,F1,Dja-1,JA,41,16.5,7.4,113.2,64,FALSE,683
7,9,9_7,5,5,12,JActr,F1,Dja-1,JActr,69,15.3,NA,150.4,132,FALSE,689
7,10,10_1,5,6,11,actr,F1,Dja-1,actr2,34,22,3.3,31.6,46,FALSE,709
2,10,10_2,5,5,9,Drought,F1,Dja-1,Drought,35,17.5,6,56.5,89,FALSE,728
2,10,10_3,5,4,14,Nutrient2,F1,Dja-1,Nutrient2,49,19.6,10.5,158.8,104,FALSE,737
2,10,10_4,5,5,5,Leaf,F1,Dja-1,Leaf,38,21.2,6.7,108,125,FALSE,750
2,10,10_5,5,6,12,Nutrient1,F1,Dja-1,Nutrient1,36,15.7,6.5,70.4,70,FALSE,769
12,11,11_1,6,1,11,actr,F1,Dja-1,actr1,32,18.1,5.7,44.7,99,FALSE,779
10,11,11_2,6,2,13,JActr,F1,Dja-1,JActr,39,26,8.8,152.2,186,FALSE,797
12,11,11_3,6,3,3,JA,F1,Dja-1,JA,35,25.6,9.6,186.2,246,FALSE,809
12,11,11_4,6,5,2,Cd2,F1,Dja-1,Cd2,56,NA,8.2,179.8,45,FALSE,824
12,11,11_5,6,6,4,Salt1,F1,Dja-1,Salt1,41,21.6,9.8,167.3,163,FALSE,829
12,11,11_6,6,2,7,Salt2,F1,Dja-1,Salt2,NA,NA,NA,NA,NA,FALSE,845
10,11,11_7,6,6,13,Cd1,F1,Dja-1,Cd1,39,21,9.6,115.5,154,FALSE,861
10,12,12_3,6,4,4,Drought,F1,Dja-1,Drought,41,22.5,9.1,155.1,106,FALSE,878
10,12,12_4,6,3,3,Nutrient2,F1,Dja-1,Nutrient2,44,14.3,7.6,59.9,36,FALSE,888
10,12,12_5,6,3,2,actr,F1,Dja-1,actr2,43,19,10.5,182.9,146,FALSE,908
10,12,12_6,6,6,5,Leaf,F1,Dja-1,Leaf,47,18.5,8.6,171.3,95,FALSE,916
12,12,12_7,6,2,12,Nutrient1,F1,Dja-1,Nutrient1,40,18,NA,90,75,FALSE,933
1,6,6_1,3,5,4,Leaf,F1,Dja-1,Leaf,34,20.3,6.1,106.3,138,FALSE,944
11,6,6_2,3,2,11,Nutrient1,F1,Dja-1,Nutrient1,44,19.9,6.5,125.2,98,FALSE,953
1,6,6_3,3,3,9,Drought,F1,Dja-1,Drought,33,21,6,56.7,78,FALSE,967
11,6,6_5,3,6,14,Nutrient2,F1,Dja-1,Nutrient2,36,22.3,7.7,115.1,127,FALSE,984
1,6,6_7,3,4,3,actr,F1,Dja-1,actr2,46,20.3,8.9,181.6,101,FALSE,1007
10,1,1_1,1,6,8,JA,F2,Dja-1,JA,30,21.9,6.6,143.5,204,FALSE,9
7,1,1_2,1,4,11,Salt1,F2,Dja-1,Salt1,29,22.7,8.3,161.3,182,FALSE,27
7,1,1_3,1,2,1,Salt2,F2,Dja-1,Salt2,NA,NA,NA,NA,NA,FALSE,34
10,1,1_4,1,2,2,Cd2,F2,Dja-1,Cd2,28,23.9,9.5,143.5,189,FALSE,48
10,1,1_5,1,3,3,actr,F2,Dja-1,actr1,26,24.2,9,156.4,159,FALSE,68
7,1,1_6,1,4,10,Cd1,F2,Dja-1,Cd1,27,23.6,9.9,169.7,242,FALSE,72
7,1,1_7,1,6,8,JActr,F2,Dja-1,JActr,38,16.5,9.5,199.3,114,FALSE,91
10,2,2_1,1,1,11,Nutrient2,F2,Dja-1,Nutrient2,32,23.6,9.8,218.9,138,FALSE,110
7,2,2_2,1,3,12,actr,F2,Dja-1,actr2,29,23.7,8.1,136.8,177,FALSE,126
7,2,2_4,1,4,6,Drought,F2,Dja-1,Drought,36,21.3,8.1,220.1,181,FALSE,127
7,2,2_5,1,4,1,Leaf,F2,Dja-1,Leaf,40,11.5,7.2,176.2,58,FALSE,149
10,2,2_6,1,5,7,Nutrient1,F2,Dja-1,Nutrient1,26,23.5,8.5,173.1,173,FALSE,163
1,3,3_1,2,3,5,JA,F2,Dja-1,JA,32,20.2,6.7,172.1,101,FALSE,175
1,3,3_2,2,2,2,Salt2,F2,Dja-1,Salt2,NA,NA,NA,NA,NA,FALSE,191
5,3,3_3,2,1,1,Salt1,F2,Dja-1,Salt1,27,23.9,7.6,147.3,145,FALSE,203
5,3,3_4,2,3,2,Cd2,F2,Dja-1,Cd2,32,23.2,7.8,177.1,243,FALSE,220
5,3,3_5,2,2,4,actr,F2,Dja-1,actr1,36,15.5,7.2,191.7,160,FALSE,235
5,3,3_6,2,2,7,JActr,F2,Dja-1,JActr,39,21.4,9.9,299.7,202,FALSE,249
5,3,3_7,2,6,6,Cd1,F2,Dja-1,Cd1,32,19,8.8,203.8,186,FALSE,263
1,4,4_1,2,2,14,Drought,F2,Dja-1,Drought,33,23.4,7.9,207.9,197,FALSE,275
