layer,P.layer,P.row,replicate,Row,Col,treat.1,Generation,ecotype,treat,flt,height,diam,biomass,fruit,rm,id
10,11,11_3,6,3,8,JA,F1,aaCol-0,JA,34,33.5,8.1,107.8,139,FALSE,807
10,11,11_4,6,4,3,Cd2,F1,aaCol-0,Cd2,40,36,10.4,129.7,111,FALSE,819
10,11,11_5,6,6,9,Salt1,F1,aaCol-0,Salt1,43,50.4,11.8,189.6,163,FALSE,840
12,11,11_6,6,5,14,Salt2,F1,aaCol-0,Salt2,34,37.6,6.3,88.2,109,FALSE,842
10,11,11_7,6,2,3,Cd1,F1,aaCol-0,Cd1,35,39.8,6.5,96.5,104,FALSE,865
12,12,12_3,6,4,14,Drought,F1,aaCol-0,Drought,33,32.1,8,115.6,101,FALSE,870
10,12,12_4,6,1,2,Nutrient2,F1,aaCol-0,Nutrient2,41,45.6,9.5,148.7,135,FALSE,887
10,12,12_5,6,5,11,actr,F1,aaCol-0,actr2,38,39.1,9.3,168.3,166,FALSE,904
12,12,12_6,6,4,1,Leaf,F1,aaCol-0,Leaf,38,32,6.4,80.6,90,FALSE,918
12,12,12_7,6,5,4,Nutrient1,F1,aaCol-0,Nutrient1,40,37.7,8.2,158.8,120,FALSE,928
11,6,6_1,3,1,14,Leaf,F1,aaCol-0,Leaf,40,41.5,6.5,112.7,112,FALSE,948
1,6,6_2,3,5,9,Nutrient1,F1,aaCol-0,Nutrient1,37,41,10.4,200,167,FALSE,957
1,6,6_3,3,5,2,Drought,F1,aaCol-0,Drought,42,41.7,7.9,146.7,127,FALSE,969
11,6,6_5,3,5,14,Nutrient2,F1,aaCol-0,Nutrient2,33,18.2,7.6,29.5,35,FALSE,988
1,6,6_7,3,4,4,actr,F1,aaCol-0,actr2,40,42,7.1,110.7,87,FALSE,1004
10,1,1_1,1,6,10,JA,F2,aaCol-0,JA,29,34.2,9,137.5,106,FALSE,4
10,1,1_2,1,6,5,Salt1,F2,aaCol-0,Salt1,27,32.1,9.2,164.9,113,FALSE,17
7,1,1_3,1,5,3,Salt2,F2,aaCol-0,Salt2,28,36.4,8.7,178.5,172,FALSE,40
7,1,1_4,1,3,13,Cd2,F2,aaCol-0,Cd2,26,33.7,9.1,169.9,164,FALSE,54
7,1,1_5,1,1,1,actr,F2,aaCol-0,actr1,32,32.3,9.1,156.9,116,FALSE,69
10,1,1_6,1,2,12,Cd1,F2,aaCol-0,Cd1,28,34.2,9.3,236.1,142,FALSE,83
7,1,1_7,1,6,13,JActr,F2,aaCol-0,JActr,30,37.9,11,263.8,210,FALSE,85
10,2,2_1,1,4,4,Nutrient2,F2,aaCol-0,Nutrient2,26,35.1,9.5,202.5,130,FALSE,105
7,2,2_2,1,2,6,actr,F2,aaCol-0,actr2,30,36.5,8.4,180.3,153,FALSE,125
7,2,2_4,1,5,7,Drought,F2,aaCol-0,Drought,27,38.2,10.2,225.2,225,FALSE,140
10,2,2_5,1,2,1,Leaf,F2,aaCol-0,Leaf,26,37.5,8.8,169.1,125,FALSE,148
10,2,2_6,1,4,8,Nutrient1,F2,aaCol-0,Nutrient1,28,40.7,10.9,257,136,FALSE,158
5,3,3_1,2,1,6,JA,F2,aaCol-0,JA,30,41.6,9.2,236.5,137,FALSE,173
1,3,3_2,2,5,3,Salt2,F2,aaCol-0,Salt2,35,33.4,7,208.6,137,FALSE,186
1,3,3_3,2,3,3,Salt1,F2,aaCol-0,Salt1,35,36.3,8.9,306.5,195,FALSE,204
5,3,3_4,2,4,4,Cd2,F2,aaCol-0,Cd2,28,49.8,9.5,229.2,234,FALSE,219
5,3,3_5,2,3,8,actr,F2,aaCol-0,actr1,28,37.7,8.8,181.1,185,FALSE,238
5,3,3_6,2,4,9,JActr,F2,aaCol-0,JActr,28,38.8,9.2,237.6,165,FALSE,240
1,3,3_7,2,4,4,Cd1,F2,aaCol-0,Cd1,30,47.1,7.4,183.6,116,FALSE,258
1,4,4_1,2,4,8,Drought,F2,aaCol-0,Drought,33,28.5,8.3,163.9,62,FALSE,270
5,4,4_3,2,1,13,Leaf,F2,aaCol-0,Leaf,28,36.5,10.4,162.6,122,FALSE,288
5,4,4_4,2,2,5,Nutrient1,F2,aaCol-0,Nutrient1,29,42.3,9.7,322.9,214,FALSE,304
1,4,4_6,2,1,12,actr,F2,aaCol-0,actr2,32,35,7.1,152.9,123,FALSE,320
5,4,4_7,2,2,3,Nutrient2,F2,aaCol-0,Nutrient2,29,32,7,133.9,139,FALSE,330
